ut,mean_altitude,surf_speed,g_force,aoa,aerodynamic_force,dynamic_pressure,highest_skin_temp,highest_skin_temp_part,critical_skin_temp,critical_skin_temp_part,ablator,atmosphere_density,mass,dry_mass,thurst
28692687.730687056,1869.5007841082988,1082138.8765371088,1.7013765573501587,-2.177677869796753,21060.95226457294,10.452108383178711,392.64435814509204,"parachuteRadial",318.15618596040775,"sensorThermometer",0.0,5.545823574066162,1265.75,1265.75,0.0
28692688.770687032,1867.647337454022,1082138.9719887574,1.6696743965148926,-4.842155933380127,20978.247937994263,7.904284954071045,392.83658511145467,"parachuteRadial",318.9254288456172,"sensorThermometer",0.0,5.546492576599121,1265.75,1265.75,0.0
28692689.81068701,1865.8917382307118,1082138.8277745054,1.691331148147583,-5.60819149017334,20997.562709585938,7.914320945739746,393.00471760143165,"parachuteRadial",319.64358020935316,"sensorThermometer",0.0,5.547125816345215,1265.75,1265.75,0.0
28692690.850686986,1864.106688520871,1082138.6581590744,1.683150053024292,-7.134653091430664,20939.381747616913,8.10616683959961,393.154261158428,"parachuteRadial",320.4325455243853,"sensorThermometer",0.0,5.547757625579834,1265.75,1265.75,0.0
28692691.890686963,1862.3685500683496,1082138.5316325778,1.693366527557373,-7.19661283493042,21027.522306837014,7.9464030265808105,393.2894470016985,"parachuteRadial",321.301722172533,"sensorThermometer",0.0,5.548397541046143,1265.75,1265.75,0.0
28692692.93068694,1860.6246647902299,1082138.380244637,1.6873564720153809,-8.161346435546875,20742.32600759422,8.024369239807129,393.4131413672947,"parachuteRadial",322.1841566865113,"sensorThermometer",0.0,5.549026966094971,1265.75,1265.75,0.0
28692693.970686916,1858.8632653536042,1082138.2357853656,1.689683437347412,-8.963286399841309,20959.515222424085,8.017120361328125,393.5274759729198,"parachuteRadial",323.0977985729967,"sensorThermometer",0.0,5.5496625900268555,1265.75,1265.75,0.0
28692694.990686893,1857.1304389740108,1082138.094850773,1.6905999183654785,-9.00732421875,20958.07255338338,8.006564140319824,393.63224287530625,"parachuteRadial",324.0043998118396,"sensorThermometer",0.0,5.550288200378418,1265.75,1265.75,0.0
28692696.03068687,1855.3649320490658,1082137.953307832,1.6908552646636963,-9.035673141479492,20958.113489334537,7.981071949005127,393.7329174344559,"parachuteRadial",324.9234261316308,"sensorThermometer",0.0,5.550925254821777,1265.75,1265.75,0.0
28692697.070686847,1853.59884809691,1082137.8040913981,1.689976453781128,-8.958805084228516,20963.91222323133,8.024248123168945,393.82846608212503,"parachuteRadial",325.83254560768637,"sensorThermometer",0.0,5.551562786102295,1265.75,1265.75,0.0
28692698.110686824,1851.8372709094547,1082137.6747898157,1.6927989721298218,-9.039119720458984,20971.3724930699,7.87627649307251,393.9197961425238,"parachuteRadial",326.72775960175466,"sensorThermometer",0.0,5.552198886871338,1265.75,1265.75,0.0
28692699.1706868,1850.0491408257512,1082137.6053973201,1.7200391292572021,-9.506329536437988,21902.266789631907,6.863430976867676,394.00926539254425,"parachuteRadial",327.624418087101,"sensorThermometer",0.0,5.552844524383545,1265.75,1265.75,0.0
